"Male" "Female"
"tea" 0 1
"teach" 6 4
"teacherbronn" 1 0
"team" 3 0
"tear" 5 12
"teeth" 2 1
"teethcersei" 0 1
"tell" 63 49
"tellsmarwyn" 1 0
"temple" 1 6
"tempted" 2 0
"ten" 4 5
"tens" 3 1
"tent" 11 2
"tenth" 1 0
"tentmelisandre" 1 0
"tentshireen" 0 2
"tentstannis" 1 0
"terms" 10 2
"terrible" 8 8
"terriblyjon" 1 0
"terriblyramsay" 1 0
"terrified" 2 2
"terror" 1 4
"terrorslem" 1 0
"tested" 2 0
"thank" 35 23
"thanksarya" 0 1
"thatd" 1 0
"thaw" 1 0
"theater" 2 1
"thenn" 1 1
"theon" 35 26
"theonext" 0 1
"thered" 0 1
"therefore" 1 0
"therell" 1 0
"theyll" 11 3
"theyre" 26 4
"theyve" 6 3
"thick" 1 0
"thief" 1 0
"thieves" 4 0
"thigh" 1 0
"thin" 6 1
"thing" 70 50
"thingcersei" 0 1
"thingjon" 1 0
"thingsmissandei" 1 0
"thingssam" 0 1
"thingstyrion" 1 0
"think" 108 67
"third" 12 3
"thirst" 1 0
"thisll" 1 0
"thorns" 8 1
"thoros" 14 0
"though" 10 2
"thought" 31 16
"thousand" 26 3
"threat" 5 5
"threaten" 4 0
"three" 22 17
"threeeyed" 12 2
"threw" 2 0
"thrilled" 0 1
"throat" 9 5
"throne" 33 27
"throneroomcersei" 1 0
"throw" 16 5
"thrown" 3 3
"thrrows" 1 0
"thud" 3 0
"thugs" 1 0
"thumb" 2 1
"thus" 1 0
"tide" 1 0
"tie" 9 3
"til" 1 0
"till" 4 0
"time" 110 43
"timebrothers" 1 0
"timehizdahr" 1 0
"timesansa" 1 0
"timesarthur" 1 0
"timetyrion" 1 0
"timid" 1 0
"tired" 5 2
"tissue" 1 0
"titan" 1 1
"title" 2 0
"tits" 1 0
"toasts" 0 1
"today" 14 7
"together" 34 16
"togetherint" 1 0
"togethertormund" 1 0
"token" 1 1
"told" 50 29
"tolerate" 1 1
"toll" 1 1
"tommen" 16 23
"tommencersei" 1 0
"tommenking" 0 1
"tommentommen" 1 0
"tomorrow" 9 6
"tomorrowdavos" 1 0
"tomorrowwaif" 0 1
"tone" 1 0
"tongiht" 1 0
"tongue" 3 1
"tonight" 10 0
"tonightbrynden" 1 0
"took" 17 10
"tools" 1 0
"top" 18 8
"torch" 8 1
"torchlit" 1 0
"torgo" 1 2
"torment" 1 1
"tormund" 19 5
"torn" 2 0
"torrhens" 1 0
"torso" 1 0
"torture" 4 2
"tosses" 2 3
"touch" 12 9
"tough" 3 0
"tougher" 1 0
"toughest" 1 0
"tour" 1 0
"tournament" 2 0
"tow" 1 0
"toward" 36 18
"towel" 0 1
"tower" 11 4
"towersansa" 1 0
"town" 3 2
"towncut" 0 1
"toys" 1 1
"tracks" 2 0
"trade" 7 2
"traders" 1 0
"tradition" 4 3
"traditionsint" 0 1
"tragedies" 1 0
"tragic" 0 1
"trail" 0 4
"train" 8 8
"traitor" 9 6
"translate" 1 6
"transportation" 0 1
"trant" 0 2
"trap" 2 5
"travels" 9 4
"tray" 1 2
"treason" 2 3
"treat" 14 6
"trebuchets" 1 0
"tree" 9 1
"trenches" 1 0
"trespassing" 1 0
"trial" 7 8
"tribes" 1 0
"tribesman" 1 0
"trick" 4 1
"trickle" 1 1
"triedcut" 1 0
"trimming" 1 0
"trip" 57 35
"triples" 1 0
"triumph" 1 0
"troops" 1 1
"trophies" 0 1
"trouble" 5 2
"troubledcut" 1 0
"troublesome" 0 1
"truce" 0 2
"true" 21 14
"trueborn" 4 1
"truejaime" 0 1
"trust" 26 18
"trustint" 1 0
"trustworthyint" 0 1
"truth" 18 9
"truthcressen" 1 0
"trystane" 11 9
"trystaneellaria" 1 0
"tucks" 1 0
"tundra" 1 0
"tunic" 2 0
"tunnel" 8 3
"tunnelscut" 1 0
"tunnelslancel" 5 3
"tunnelsthe" 0 1
"turn" 87 52
"turncloak" 0 1
"tutor" 1 0
"twat" 2 0
"twatjaime" 1 0
"tweezers" 1 0
"twice" 8 4
"twins" 2 0
"twists" 1 0
"two" 45 25
"twoberic" 1 0
"tyene" 6 18
"type" 2 0
"tyrell" 23 9
"tyrion" 111 24
"tyrionint" 1 0
"tywin" 9 3
"ugliest" 2 0
"umber" 7 2
"unacceptable" 0 2
"unaffected" 0 1
"unamusedint" 1 0
"unarmed" 1 0
"unbent" 0 1
"unbowed" 0 1
"unbroken" 0 1
"unburden" 1 0
"unburnt" 1 1
"unbuttoning" 0 1
"unchains" 3 0
"uncle" 18 10
"uncomfortable" 1 1
"unconnected" 1 0
"unconsummated" 1 0
"unconvincing" 0 1
"uncovers" 0 1
"underestimate" 2 0
"undermining" 1 0
"underneath" 2 2
"understand" 24 14
"understandint" 0 1
"understandtyrion" 0 1
"understood" 4 2
"undo" 4 0
"undone" 1 0
"undress" 0 3
"unella" 0 11
"unfolds" 0 2
"unfortunate" 2 3
"unfurls" 1 0
"ungags" 0 1
"unharmed" 0 1
"unhurt" 1 0
"unimportant" 1 1
"unison" 1 0
"unisoncut" 0 1
"unite" 3 1
"unknown" 2 1
"unless" 10 2
"unlike" 3 1
"unlocks" 2 0
"unluckily" 1 0
"unnatural" 1 0
"unoccupied" 2 0
"unparalleled" 0 1
"unphased" 1 0
"unpleasant" 4 0
"unravel" 1 0
"unreadsamwell" 1 0
"unrolls" 1 0
"unseating" 1 0
"unseen" 0 1
"unsheathes" 6 0
"unspeakable" 1 0
"unsullied" 30 15
"unsulliedtyrion" 1 0
"unsure" 1 2
"unties" 3 0
"untouched" 2 0
"unusual" 1 0
"unwashed" 0 1
"uphold" 1 0
"upon" 9 5
"uponjon" 0 1
"upper" 3 2
"upset" 1 1
"upstairs" 0 1
"urges" 1 0
"usbaelish" 0 1
"uscatelyn" 0 1
"usdaario" 1 0
"use" 34 19
"usedd" 1 0
"useless" 3 0
"usher" 7 1
"uskarsi" 1 0
"usmeera" 1 0
"ustormund" 1 0
"usually" 1 2
"usurper" 0 3
"uswalder" 1 0
"utensils" 2 0
"utters" 1 0
"vaes" 4 2
"vala" 1 0
"valahddrogon" 0 1
"valar" 1 4
"vale" 9 4
"valid" 1 0
"valley" 1 0
"valour" 1 0
"valuable" 4 0
"value" 1 2
"valyria" 4 0
"valyrian" 6 14
"valyriancut" 1 0
"valyriankinvara" 1 0
"various" 36 19
"varyss" 1 1
"vast" 1 0
"vaults" 0 1
"vaultsa" 1 0
"veil" 1 3
"veins" 0 1
"veinsmelisandre" 0 1
"vengeance" 1 1
"venison" 1 1
"venom" 0 1
"venture" 2 1
"verse" 0 1
"vertical" 1 0
"veteran" 1 0
"vhagar" 1 0
"vial" 5 0
"victories" 6 4
"victorramsay" 1 0
"view" 4 1
"vile" 3 0
"village" 4 1
"vines" 1 0
"vineyard" 1 0
"vintage" 0 1
"vintnors" 1 0
"violence" 2 0
"violenceone" 0 1
"violently" 0 1
"violet" 0 1
"viper" 2 0
"viperjaime" 1 0
"virgin" 2 1
"virtue" 1 0
"viserion" 7 4
"vision" 7 7
"visit" 8 3
"visitcersei" 0 1
"voice" 2 2
"volantene" 1 0
"volantis" 6 1
"volantisint" 1 0
"volarik" 2 0
"volcanic" 1 0
"volley" 2 0
"vomit" 0 3
"vow" 9 1
"voyage" 0 1
"wade" 2 0
"wafts" 0 1
"wage" 5 1
"wager" 2 1
"wagon" 5 0
"waif" 8 47
"wail" 1 0
"waist" 2 0
"wait" 39 19
"waitint" 0 1
"waitress" 1 0
"waitsomething" 1 0
"wake" 2 3
"walda" 8 0
"walder" 15 2
"walderlothar" 1 0
"walk" 187 111
"walker" 17 2
"walkerdickon" 0 1
"walkway" 1 0
"walkwaythe" 1 0
"wall" 80 10
"wallbrienne" 1 0
"wallcersei" 0 1
"walledmure" 1 0
"wallext" 1 0
"wallint" 0 1
"walljaime" 1 0
"walljon" 1 1
"wallsjaime" 1 0
"wan" 1 0
"wandered" 1 0
"wanna" 1 1
"want" 184 141
"wantedjon" 1 0
"wantedmure" 1 0
"war" 54 22
"ward" 2 1
"warden" 7 5
"warext" 1 0
"warfare" 0 2
"warg" 0 1
"warjon" 0 1
"warm" 1 0
"warmer" 1 0
"warned" 2 1
"warrant" 0 1
"warrior" 5 3
"wartorn" 0 1
"wash" 1 7
"waste" 6 1
"watch" 87 34
"watchanother" 1 0
"watcher" 1 0
"watchingcut" 0 1
"watchint" 1 0
"watchjanos" 1 0
"watchman" 3 1
"watchmen" 5 0
"watchramsay" 1 0
"watchsansa" 1 0
"watchstannis" 1 0
"watchtheon" 1 0
"watchtower" 0 1
"water" 26 13
"watermalko" 1 0
"waves" 6 2
"way" 87 47
"waybalon" 1 0
"waybran" 1 0
"wayshireen" 0 1
"weak" 6 6
"weaken" 0 2
"wealth" 2 0
"wealthiest" 2 1
"weapons" 13 1
"weaponsjon" 0 1
"wear" 6 6
"weather" 2 1
"wed" 18 4
"weddingramsay" 0 1
"weeds" 0 1
"week" 6 2
"weep" 0 1
"weigh" 2 1
"weight" 4 1
"weirwood" 7 2
"welcome" 6 6
"welcomesansa" 0 1
"welfare" 0 1
"well" 113 51
"wellbeingareo" 1 0
"wellint" 0 1
"welljon" 0 1
"wellmarwyn" 1 0
"wellroose" 1 0
"wellsansa" 0 1
"wellsuited" 1 0
"went" 3 4
"wept" 0 1
"werent" 13 3
"west" 4 3
"western" 3 0
"westeros" 28 13
"westerosi" 1 1
"westolenna" 0 1
"westward" 1 0
"wet" 4 1
"wetnurse" 1 0
"weve" 4 5
"whatever" 8 5
"whatll" 0 1
"whatre" 2 0
"whats" 12 10
"wheat" 0 1
"wheel" 2 1
"wheelchair" 1 0
"wheelext" 0 1
"wheelhouse" 3 0
"whelped" 1 0
"whence" 1 0
"whenever" 3 0
"whereas" 1 0
"wheres" 4 3
"wherever" 2 3
"wherewithal" 1 0
"whether" 2 3
"whew" 1 0
"whimper" 1 2
"whincescut" 0 1
"whinging" 2 0
"whinnies" 1 1
"whip" 7 2
"whisper" 9 4
"whistles" 1 1
"white" 25 17
"whitearya" 1 0
"whitejaqen" 0 1
"whitesailed" 1 0
"whoever" 3 3
"whole" 12 3
"whomever" 2 0
"whore" 10 6
"whos" 3 2
"whose" 4 3
"wicked" 1 2
"wide" 2 2
"wideeyed" 1 0
"widen" 2 3
"widows" 1 1
"wield" 4 1
"wife" 16 4
"wig" 0 1
"wight" 13 3
"wild" 3 1
"wilderness" 3 0
"wildernessa" 0 1
"wildfire" 2 0
"wildling" 32 6
"wildlingsrobett" 1 0
"will" 219 170
"willcersei" 1 0
"win" 15 7
"winces" 2 1
"wind" 10 0
"window" 7 8
"windowext" 1 0
"windowtyrion" 1 0
"wine" 63 17
"winecolored" 1 0
"winetheon" 1 0
"wing" 1 2
"winner" 0 1
"wintefell" 1 1
"winter" 10 3
"winterfell" 46 26
"winterfella" 1 0
"winterfellbran" 0 2
"winterfellbrienne" 1 0
"winterfellcourtyardsansa" 1 0
"winterfellcut" 0 1
"winterfellext" 2 2
"winterfellint" 1 0
"winterfelljon" 0 1
"winterfellsansa" 1 1
"winterfellthe" 1 0
"winterfellyoung" 0 1
"wipes" 5 1
"wisdom" 0 3
"wise" 5 4
"wiselymarwyn" 1 0
"wiser" 1 0
"wish" 16 13
"witch" 3 2
"within" 3 3
"without" 30 16
"wits" 2 0
"wives" 3 1
"woke" 0 1
"wolf" 5 3
"wolkan" 9 2
"wolves" 1 1
"woman" 43 16
"womanramsay" 1 0
"womanray" 1 0
"womanwalder" 1 0
"women" 22 8
"won" 9 4
"woncersei" 0 1
"wonder" 9 6
"wood" 14 3
"wooden" 4 3
"woodsext" 1 0
"woodsthe" 1 0
"woodstheon" 1 0
"word" 35 19
"wordedmure" 1 0
"wordint" 0 1
"wordjorah" 1 0
"wordscersei" 0 1
"wore" 3 1
"work" 26 13
"workcut" 1 0
"workers" 2 0
"workingtyrion" 1 0
"workint" 0 1
"workmen" 0 1
"world" 45 20
"worldbronn" 0 1
"worldellaria" 0 1
"worm" 31 11
"wormgrey" 1 0
"worried" 19 1
"worriedlyintext" 1 0
"worseramsay" 0 1
"worsesansa" 1 0
"worship" 2 0
"worshippers" 1 0
"worst" 9 3
"worth" 7 2
"worthmalko" 1 0
"wouldnt" 13 6
"wound" 9 4
"wraps" 3 1
"wreckage" 1 0
"wrench" 2 1
"wretch" 0 2
"wrings" 1 0
"wrist" 5 1
"write" 6 7
"writer" 1 0
"writhe" 1 0
"written" 1 1
"wrong" 16 12
"wrongdavos" 1 0
"wrongmeera" 1 0
"wrongtyrion" 1 0
"wrote" 2 1
"wun" 15 0
"wylis" 2 2
"wyllis" 1 0
"yammering" 1 0
"yanks" 1 0
"yara" 10 10
"yard" 3 0
"yarwyck" 1 0
"yeah" 3 0
"year" 37 15
"yearsmarwyn" 1 0
"yell" 4 0
"yellow" 2 0
"yes" 85 36
"yescut" 1 0
"yesint" 0 1
"yesjaqen" 0 1
"yesterday" 0 1
"yet" 14 7
"yetbronn" 1 0
"yezzan" 2 1
"ygritte" 3 0
"yield" 2 0
"yieldwalder" 1 0
"yohn" 2 0
"yoke" 2 0
"yoren" 3 1
"youll" 24 11
"young" 22 9
"younger" 1 3
"youngest" 0 2
"yunkai" 4 0
"zala" 0 1
"zealot" 0 1
"zoomed" 1 0
