"Male" "Female"
"didnttheon" 1 0
"die" 76 56
"diearya" 1 0
"diebrienne" 0 1
"diesandor" 1 0
"diescut" 0 1
"differ" 21 7
"difficult" 8 4
"dig" 3 0
"dine" 5 3
"dinner" 4 1
"diplomatic" 1 2
"dire" 1 3
"directly" 8 6
"direwolf" 1 0
"dirt" 5 3
"dirtberic" 1 0
"disadvantage" 2 0
"disagree" 1 0
"disappear" 1 7
"disappoint" 7 0
"disapprove" 1 3
"disarms" 2 0
"disbands" 1 0
"discipline" 2 1
"discovered" 2 0
"discreet" 0 1
"discretion" 1 0
"discuss" 10 3
"disease" 3 2
"disgrace" 2 0
"disgust" 3 2
"dishelveled" 0 1
"dishonor" 2 1
"dislikes" 0 1
"dislodge" 1 0
"dismissed" 0 2
"dismount" 6 0
"disobey" 1 0
"dispensed" 0 1
"disperse" 1 0
"disposing" 1 0
"disregards" 1 0
"disrespecting" 1 0
"disrobes" 1 1
"distance" 5 4
"distanceint" 1 0
"distasteful" 1 0
"distracted" 1 1
"distressed" 0 1
"district" 1 0
"disturbed" 1 0
"ditch" 1 0
"divide" 1 1
"divine" 2 0
"division" 1 0
"dock" 7 1
"dockellaria" 1 0
"dockint" 1 0
"dockmyrcella" 0 1
"dockon" 1 0
"docksome" 1 0
"dodges" 2 0
"doe" 0 1
"doesnt" 25 7
"dog" 14 8
"dohaeris" 1 1
"dohaerisarya" 0 1
"doll" 0 1
"dolorous" 6 4
"dolphins" 1 0
"dom" 3 0
"dominion" 1 0
"dondarrion" 1 0
"done" 34 23
"donemelisandre" 1 0
"dontos" 8 0
"dontoss" 1 0
"doom" 3 0
"door" 35 34
"doorcut" 0 2
"doorstep" 0 1
"doorway" 2 1
"dooryoung" 0 1
"doran" 7 10
"dorne" 22 25
"dornecut" 0 1
"dorneext" 0 1
"dorneits" 0 1
"dornejaime" 0 1
"dornetheon" 0 1
"dornish" 11 3
"dornishman" 4 1
"dornishmen" 1 0
"dorren" 0 1
"dosh" 2 3
"dothrak" 4 2
"dothraki" 25 20
"dothrakijorah" 2 0
"double" 2 0
"doubletime" 1 0
"doubt" 3 3
"doubtramsay" 1 0
"dowager" 0 1
"downcastcut" 1 0
"downs" 0 1
"dozen" 2 1
"drag" 9 4
"dragon" 57 29
"dragoncut" 0 1
"dragonglass" 10 4
"dragonsbran" 0 1
"dragonslaying" 1 0
"dragonstone" 15 4
"dragonstoneext" 1 0
"dragonstonejaime" 1 0
"dragonstyrion" 1 0
"drains" 1 0
"drangonstone" 0 1
"drank" 1 2
"draped" 1 0
"draw" 12 8
"drawbridge" 1 0
"drawn" 0 3
"dread" 2 0
"dreadfort" 1 0
"dream" 4 2
"dreamt" 1 0
"dress" 6 6
"dresser" 0 1
"dresssam" 0 1
"dresssansa" 1 0
"drifted" 1 0
"drink" 46 16
"drinkbran" 1 0
"drinktyrion" 1 0
"dripping" 1 1
"drive" 3 0
"driven" 0 1
"driver" 0 1
"drogo" 4 5
"drogon" 4 11
"drop" 15 10
"drove" 0 3
"drowned" 7 1
"drugged" 2 0
"drunk" 6 0
"drunken" 1 0
"drunkser" 1 0
"duck" 1 1
"due" 1 1
"dull" 2 2
"dumb" 1 0
"dumps" 0 1
"dungeon" 2 5
"dungeonsqyburn" 1 0
"dwarf" 15 1
"dwarftyrion" 1 0
"dwarves" 2 0
"dye" 1 1
"eager" 1 0
"ear" 4 3
"earlier" 2 4
"earned" 1 2
"easier" 0 1
"easily" 10 4
"east" 5 2
"eastcersei" 0 1
"eastern" 2 0
"eastwatch" 1 0
"eastwatchsea" 1 0
"easy" 1 0
"easydavos" 1 0
"eat" 17 11
"eatcut" 1 0
"ecstatic" 1 1
"edd" 13 5
"eddard" 0 4
"edge" 6 5
"edmure" 15 0
"edmurebrynden" 1 0
"edmureedmures" 1 0
"eeach" 1 0
"effigies" 0 1
"effigiesint" 1 0
"effort" 0 2
"egg" 8 2
"either" 9 5
"elaria" 1 1
"elbows" 2 0
"elders" 3 0
"eldest" 1 4
"elegant" 1 0
"elements" 1 0
"elevator" 0 1
"elia" 1 1
"elk" 1 0
"ellaria" 10 13
"eloquent" 1 0
"else" 24 18
"elseext" 1 0
"elsesomeone" 1 0
"elsewhere" 1 1
"embarrassing" 1 0
"embrace" 6 7
"emerge" 4 1
"emotion" 1 0
"emperor" 1 0
"emptied" 2 3
"encampment" 4 2
"encampmenta" 1 0
"encampmentjaime" 1 0
"encampmentpodrick" 0 1
"encampmentseveral" 1 0
"encircle" 1 0
"end" 25 19
"endeavors" 1 0
"endured" 1 1
"enemey" 1 0
"enemies" 27 22
"enemiesmaester" 1 0
"engaged" 2 0
"english" 0 2
"engrossed" 1 0
"engulfs" 0 3
"enjoy" 5 1
"enmities" 1 0
"enough" 40 23
"enoughbronn" 1 0
"enoughpycelle" 0 1
"enraged" 1 0
"ensemble" 0 1
"enslave" 1 0
"ensues" 1 0
"ensuescut" 0 1
"ensure" 0 1
"entail" 0 1
"enter" 38 27
"enteringint" 1 0
"entertainment" 0 1
"enthusiasm" 0 1
"entire" 10 6
"entourage" 0 1
"entrance" 2 3
"entrancea" 0 1
"entrancehodor" 0 1
"entrancemyranda" 0 1
"entrybrynden" 1 0
"envied" 1 0
"envoy" 0 1
"epaulettes" 1 0
"episode" 2 1
"equality" 0 1
"erase" 0 1
"erupts" 1 1
"escape" 8 3
"escapedyara" 2 0
"escort" 10 8
"escorts" 0 1
"especially" 4 1
"essos" 1 3
"essosext" 0 1
"establishment" 3 0
"eunuch" 2 0
"eunuchsrandyll" 1 0
"euron" 11 7
"even" 29 15
"eveningjorah" 1 0
"event" 0 2
"eventually" 0 3
"ever" 61 34
"everyone" 29 23
"everything" 23 12
"everywhere" 2 1
"evil" 2 2
"exactly" 8 3
"exactlyjaime" 1 0
"exam" 1 0
"examine" 5 2
"example" 1 0
"exasperated" 1 0
"excellent" 6 0
"except" 4 3
"exchange" 5 2
"excited" 2 1
"excuse" 1 1
"excusegrey" 1 0
"execute" 13 7
"executioners" 1 0
